business_attribute,siebel_table,siebel_column,antillia_table,antillia_column,css_table,css_column
Customer ID,siebel_accounts,account_id,antillia_billing_accounts,billing_account_id,css_customers,css_customer_id
Service ID,siebel_assets,asset_id,antillia_billing_products,product_instance_id,css_services,css_service_id
Product Code,siebel_assets,product_code,antillia_billing_products,billing_product_code,css_services,css_product_code
Standard Product Code,siebel_assets,standard_product_code,antillia_billing_products,standard_product_code,css_services,standard_product_code
Product Family,siebel_assets,product_family,antillia_billing_products,product_family,css_services,product_family
Status,siebel_assets,service_status,antillia_billing_products,billing_status,css_services,service_status
Monthly Charge,,,antillia_billing_products,monthly_charge,css_billing,monthly_charge
